pitch,roll,yaw,accelX,accelY,accelZ,latitude,longitude,altitude,GPS_fix
0,0,0,0,0,0,0,0,0,0
1.36,-6.23,0.31,-455.7,-633.31,4079.64,0,0,0,0
0.36,-1.23,-0.69,-489.7,-637.31,4081.64,0,0,0,0
0.36,6.77,0.31,-453.7,-628.31,4054.64,0,0,0,0
1.36,1.77,0.31,-492.7,-643.31,4087.64,0,0,0,0
0.36,-0.23,-0.69,-461.7,-634.31,4061.64,0,0,0,0
0.36,-1.23,-0.69,-476.7,-643.31,4052.64,0,0,0,0
0.36,3.77,-0.69,-474.7,-645.31,4089.64,42.2805024,-71.1381099,8.1,1.0
0.36,0.77,-0.69,-482.7,-638.31,4090.64,0,0,0,0
0.36,-0.23,-0.69,-496.7,-645.31,4099.64,0,0,0,0
0.36,-1.23,-0.69,-471.7,-641.31,4130.64,0,0,0,0
-0.64,4.77,-0.69,-474.7,-631.31,4061.64,42.2805035,-71.1381126,8.1,1.0
2.36,2.77,0.31,-493.7,-644.31,4052.64,0,0,0,0
1.36,2.77,-0.69,-477.7,-618.31,4115.64,0,0,0,0
-0.64,6.77,-0.69,-496.7,-642.31,4040.64,42.2805035,-71.1381132,8.1,1.0
1.36,0.77,0.31,-499.7,-634.31,4101.64,0,0,0,0
-1.64,-12.23,0.31,-512.7,-574.31,4144.64,0,0,0,0
-1.64,-10.23,2.31,-588.7,-645.31,4097.64,0,0,0,0
75.36,19.77,1753.31,1763.3,-978.31,4078.64,42.2805024,-71.1381161,8.1,1.0
-347.64,-80.23,1362.31,-8732.7,1807.69,3076.64,0,0,0,0
-369.64,890.77,167.31,-7468.7,3640.68,557.64,0,0,0,0
-1445.64,1172.77,1316.31,-9769.7,5302.68,-1622.36,0,0,0,0
-1755.64,1283.77,1608.31,-8848.7,5525.68,-1012.36,42.2805028,-71.138116,8.0,1.0
-191.64,1349.77,1270.31,-6488.7,5099.68,159.64,0,0,0,0
1375.36,-426.23,-449.69,160.3,-1700.31,6005.64,0,0,0,0
1811.36,-2028.23,-1969.69,7197.3,-8391.31,13251.64,0,0,0,0
-1852.64,1723.77,2419.31,-9708.7,8464.69,-3528.36,42.2805022,-71.1381174,8.0,1.0
2320.36,-1788.23,-1826.69,5028.3,-7568.31,9494.64,0,0,0,0
358.36,-1362.23,-406.69,11436.3,-8238.31,8334.64,0,0,0,0
-2770.64,2637.77,2714.31,-14579.7,13781.69,-7354.36,42.2805035,-71.1381185,8.0,1.0
3428.36,-3179.23,-1724.69,14433.3,-12359.31,11068.64,0,0,0,0
-3993.64,2871.77,2658.31,-22971.7,17783.69,1204.64,0,0,0,0
2186.36,-1596.23,-2008.69,15645.3,-13350.31,1264.64,0,0,0,0
186.36,1737.77,1259.31,-10855.7,6344.68,6544.64,42.280506,-71.1381202,7.9,1.0
1265.36,-1674.23,-1998.69,17139.31,-12271.31,820.64,0,0,0,0
465.36,1042.77,688.31,-2193.7,-1403.31,11908.64,0,0,0,0
2467.36,-568.23,239.31,1337.3,-253.31,847.64,0,0,0,0
101.36,-1002.23,143.31,6530.3,-11814.31,6052.64,42.2805043,-71.1381243,7.9,1.0
1006.36,947.77,453.31,-5222.7,-4726.31,7869.64,0,0,0,0
512.36,-196.23,-100.69,1056.3,-4281.31,4818.64,0,0,0,0
961.36,234.77,-433.69,-2191.7,-593.31,4246.64,0,0,0,0
578.36,235.77,79.31,-1293.7,-1074.31,4883.64,42.280504,-71.1381258,7.9,1.0
-539.64,242.77,-18.69,-2784.7,187.69,2716.64,0,0,0,0
1188.36,-913.23,225.31,4540.3,-7166.31,7205.64,0,0,0,0
-3163.64,2036.77,444.31,-16891.7,13417.69,-2500.36,0,0,0,0
1821.36,-1295.23,-203.69,10006.3,-11360.31,10125.64,0,0,0,0
-4684.64,2362.77,574.31,-22322.7,13489.69,2077.64,0,0,0,0
1877.36,-2107.23,-77.69,9974.3,-8653.31,-1344.36,0,0,0,0
-575.64,1003.77,-578.69,-5353.7,-2067.31,5641.64,0,0,0,0
789.36,-149.23,-670.69,-1540.7,-1024.31,5252.64,42.280508,-71.1381284,7.9,1.0
